agent_id,agency_name,municipality_id,municipality_fullName,membership,membership_current,quota,quota_current,price,trial,accountManager,secondaryAccountManager,entrustments,search_requests,agent_developer,properties,different_level4_areas_of_properties,has_alerts,searches_without_alert,searches_with_alert,specialty_5,specialty_10,specialty_30,value_12m,membership_12m,lvl2_areas_receive_entrustments
12280,cretan real estate,3755,Siteia (Lasithi Prefecture),Brand Quota,Brand,55,55,447.98,no,Marilena Gkikopoulou,Seirina Gkikodima,201,82,agent,38,8,0,0,0,1,1,0,541,448,2
12282,ΠΑΠΑΣΤΕΦΑΝΟΥ,2823,Charilaou (Thessaloniki - Municipality),Expert Quota,Expert,300,300,1943.61,no,Maria Retsina,Thodoris Mistiloglou,4565,6029,agent,300,87,1,0,7,15,7,1,1730,1313,11
12286,Γ.ΣΩΤΗΡΙΟΥ &amp; ΣΙΑ Ο.Ε.,3521,Ioannina (Ioannina Prefecture),Developer Quota,Brand,1,0,110.0,no,Filitsa Skoura,Filitsa Skoura,6,23,developer,1,1,0,0,0,0,0,0,22,22,1
12288,Unibrain,2310,Metamorfosi (Athens - West),Developer Quota,Brand,2,0,320.16,no,Sofi Tosouni,Filitsa Skoura,61,269,developer,2,2,0,0,0,0,0,0,321,321,2
12300,RE/MAX Right Home,499115,Center of Thessaloniki (Thessaloniki - Municipality),Expert Quota,Expert,400,400,1859.68,no,Foteini Koutsogianni,Giorgos Koutsobinas,1379,4049,agent,284,48,0,11,0,22,9,1,2018,1700,2
12308,A Constructions,3748,Agios Nikolaos (Lasithi Prefecture),Developer Quota,Brand,2,0,100.0,no,Eirini Tsigonia,Vassia Roga,96,16,developer,2,1,0,0,0,0,0,0,100,100,2
12320,ANGREEKPROPERTIES,3685,Paros (Cyclades),Brand Quota,Brand,40,40,347.76,no,Maria Retsina,Ioanna Katsou,1049,81,agent,38,6,0,0,0,2,1,0,757,350,3
12321,Τσιτλακίδης και Συνεργάτες,3864,Katerini (Pieria Prefecture),Developer Quota,Brand,5,0,370.0,no,Vassiliki Stamouli,Marios Dounias,62,534,developer,5,3,0,0,0,0,0,0,363,363,2
12324,Lefkadarealestate,124230,Lefkada (Lefkada Prefecture),Expert Quota,Expert,85,85,946.0,no,Theodosis Tsiavos,Vassia Roga,52,48,agent,72,1,1,0,2,1,1,1,2663,978,1
12342,New Life Real Estate,2122,Chalandri (Athens - North),Brand Quota,Brand,150,150,613.71,no,Eirini Tsigonia,Filitsa Skoura,2166,678,agent,81,39,0,0,0,3,0,0,1862,614,7
