"lvl4_id","lvl4_name","lvl2_id","lvl2_name","lvl1_id","lvl1_name"
3304,Tritaia,154,Achaia,105050,Peloponnisos
3305,Fares,154,Achaia,105050,Peloponnisos
3306,Olenia,154,Achaia,105050,Peloponnisos
3307,Akraifnia,155,Boeotia,105054,Sterea Ellada
3308,Aliartos,155,Boeotia,105054,Sterea Ellada
3309,Antikira,155,Boeotia,105054,Sterea Ellada
3310,Arachova,155,Boeotia,105054,Sterea Ellada
3311,Vagies,155,Boeotia,105054,Sterea Ellada
3312,Davleia,155,Boeotia,105054,Sterea Ellada
3313,Dervenochoria,155,Boeotia,105054,Sterea Ellada
3314,Distomo,155,Boeotia,105054,Sterea Ellada
3315,Thespies,155,Boeotia,105054,Sterea Ellada
3316,Thiva,155,Boeotia,105054,Sterea Ellada
3317,Thisvi,155,Boeotia,105054,Sterea Ellada
3318,Koronias,155,Boeotia,105054,Sterea Ellada
3319,Kiriaki,155,Boeotia,105054,Sterea Ellada
3320,Livadeia,155,Boeotia,105054,Sterea Ellada
3321,Inofita,155,Boeotia,105054,Sterea Ellada
3322,Orchomenos,155,Boeotia,105054,Sterea Ellada
3323,Plateon,155,Boeotia,105054,Sterea Ellada
3324,Schimatari,155,Boeotia,105054,Sterea Ellada
3325,Tanagra,155,Boeotia,105054,Sterea Ellada
3326,Chaironeia,155,Boeotia,105054,Sterea Ellada
3327,Avdella,156,Grevena,105057,Macedonia
3328,Ventzi,156,Grevena,105057,Macedonia
3329,Gorgiani,156,Grevena,105057,Macedonia
3330,Grevena,156,Grevena,105057,Macedonia
3331,Deskati,156,Grevena,105057,Macedonia
3332,Dotsiko,156,Grevena,105057,Macedonia
3333,Irakleotes,156,Grevena,105057,Macedonia
3334,Theodoros Ziakas,156,Grevena,105057,Macedonia
3335,Kosmas Aitolos,156,Grevena,105057,Macedonia
3336,Mesolouri,156,Grevena,105057,Macedonia
3337,Perivoli,156,Grevena,105057,Macedonia
3338,Samarina,156,Grevena,105057,Macedonia
3339,Smixi,156,Grevena,105057,Macedonia
3340,Filippaioi,156,Grevena,105057,Macedonia
3341,Chasies,156,Grevena,105057,Macedonia
3342,Doxato,157,Drama Prefecture,105057,Macedonia
3343,Drama,157,Drama Prefecture,105057,Macedonia
3344,Kalampaki,157,Drama Prefecture,105057,Macedonia
3345,Kato Nevrokopi,157,Drama Prefecture,105057,Macedonia
3346,Nikiforos,157,Drama Prefecture,105057,Macedonia
3347,Paranesti,157,Drama Prefecture,105057,Macedonia
3348,Prosotsani,157,Drama Prefecture,105057,Macedonia
3349,Sidironero,157,Drama Prefecture,105057,Macedonia
3350,Sitagroi,157,Drama Prefecture,105057,Macedonia
3351,Agathonisi,158,Dodecanese,105052,Aegean Islands
3353,Astypalea,158,Dodecanese,105052,Aegean Islands
3360,Kalimnos,158,Dodecanese,105052,Aegean Islands
3363,Kasos,158,Dodecanese,105052,Aegean Islands
3365,Leipsoi,158,Dodecanese,105052,Aegean Islands
3366,Leros,158,Dodecanese,105052,Aegean Islands
3368,Megisti,158,Dodecanese,105052,Aegean Islands
3369,Nisiros,158,Dodecanese,105052,Aegean Islands
3372,Patmos,158,Dodecanese,105052,Aegean Islands
3375,Simi,158,Dodecanese,105052,Aegean Islands
3376,Tilos,158,Dodecanese,105052,Aegean Islands
3377,Chalki,158,Dodecanese,105052,Aegean Islands
3378,Alexandroupoli,159,Evros,105058,Thraki
3379,Vissa,159,Evros,105058,Thraki
3380,Didimoticho,159,Evros,105058,Thraki
3381,Kiprinos,159,Evros,105058,Thraki
3382,Metaxades,159,Evros,105058,Thraki
3383,Orestiada,159,Evros,105058,Thraki
3384,Orfeas,159,Evros,105058,Thraki
3385,Samothraki,159,Evros,105058,Thraki
3386,Soufli,159,Evros,105058,Thraki
3387,Traianoupoli,159,Evros,105058,Thraki
3388,Trigono,159,Evros,105058,Thraki
3389,Tichero,159,Evros,105058,Thraki
3390,Feres,159,Evros,105058,Thraki
3391,Aidipsos,160,Evia,105054,Sterea Ellada
3392,Amarinthos,160,Evia,105054,Sterea Ellada
3393,Anthidonos,160,Evia,105054,Sterea Ellada
3394,Artemisio,160,Evia,105054,Sterea Ellada
3395,Avlida,160,Evia,105054,Sterea Ellada
3396,Avlona,160,Evia,105054,Sterea Ellada
3397,Dirfis,160,Evia,105054,Sterea Ellada
3398,Distos,160,Evia,105054,Sterea Ellada
3399,Limni,160,Evia,105054,Sterea Ellada
3400,Eretria,160,Evia,105054,Sterea Ellada
3401,Istiaia,160,Evia,105054,Sterea Ellada
3402,Karistos,160,Evia,105054,Sterea Ellada
3403,Kafira,160,Evia,105054,Sterea Ellada
3404,Kirea,160,Evia,105054,Sterea Ellada
3405,Konistres,160,Evia,105054,Sterea Ellada
3406,Kimi,160,Evia,105054,Sterea Ellada
3407,Lilantio,160,Evia,105054,Sterea Ellada
3408,Lichada,160,Evia,105054,Sterea Ellada
3409,Marmari,160,Evia,105054,Sterea Ellada
3410,Messapia,160,Evia,105054,Sterea Ellada
3411,Nea Artaki,160,Evia,105054,Sterea Ellada
3412,Nilea,160,Evia,105054,Sterea Ellada
3413,Skiros,125000,Sporades,105052,Aegean Islands
3414,Stira,160,Evia,105054,Sterea Ellada
3415,Tamines,160,Evia,105054,Sterea Ellada
3416,Chalkida,160,Evia,105054,Sterea Ellada
3417,Oreoi,160,Evia,105054,Sterea Ellada
3418,Agrafa,161,Evrytania,105054,Sterea Ellada
3419,Aperantio,161,Evrytania,105054,Sterea Ellada
3420,Aspropotamos,161,Evrytania,105054,Sterea Ellada
3421,Viniani,161,Evrytania,105054,Sterea Ellada
3422,Domnista,161,Evrytania,105054,Sterea Ellada
3423,Karpenisi,161,Evrytania,105054,Sterea Ellada
3424,Ktimeni,161,Evrytania,105054,Sterea Ellada
3425,Potamias,161,Evrytania,105054,Sterea Ellada
3426,Prousos,161,Evrytania,105054,Sterea Ellada
3427,Fourna,161,Evrytania,105054,Sterea Ellada
3428,Fragkista,161,Evrytania,105054,Sterea Ellada
3429,Alikes,162,Zante,105053,Ionian Islands
3430,Arkadi,162,Zante,105053,Ionian Islands
3431,Artemisio,162,Zante,105053,Ionian Islands
3432,Elatio,162,Zante,105053,Ionian Islands
3433,Laganas,162,Zante,105053,Ionian Islands
3434,Main town area,162,Zante,105053,Ionian Islands
3435,Alifeira,163,Ilia,105050,Peloponnisos
3436,Amaliada,163,Ilia,105050,Peloponnisos
3437,Andravida,163,Ilia,105050,Peloponnisos
3438,Andritsaina,163,Ilia,105050,Peloponnisos
3439,Archaia Olimpia,163,Ilia,105050,Peloponnisos
3440,Vartholomio,163,Ilia,105050,Peloponnisos
3441,Vouprasia,163,Ilia,105050,Peloponnisos
3442,Volakas,163,Ilia,105050,Peloponnisos
3443,Gastouni,163,Ilia,105050,Peloponnisos
3444,Zacharo,163,Ilia,105050,Peloponnisos
3445,Iardanos,163,Ilia,105050,Peloponnisos
3446,Kastro Killinis,163,Ilia,105050,Peloponnisos
3447,Lampeia,163,Ilia,105050,Peloponnisos
3448,Lasiona,163,Ilia,105050,Peloponnisos
3449,Lechaina,163,Ilia,105050,Peloponnisos
3450,Pineia,163,Ilia,105050,Peloponnisos
3451,Pirgos,163,Ilia,105050,Peloponnisos
3452,Skilounta,163,Ilia,105050,Peloponnisos
3453,Tragano,163,Ilia,105050,Peloponnisos
3454,Figaleia,163,Ilia,105050,Peloponnisos
3455,Foloi,163,Ilia,105050,Peloponnisos
3456,Oleni,163,Ilia,105050,Peloponnisos
3457,Alexandreia,164,Imathia,105057,Macedonia
3458,Anthemia,164,Imathia,105057,Macedonia
3459,Antigonides,164,Imathia,105057,Macedonia
3460,Apostolos Pavlos,164,Imathia,105057,Macedonia
3461,Vergina,164,Imathia,105057,Macedonia
3462,Veroia,164,Imathia,105057,Macedonia
3463,Dovra,164,Imathia,105057,Macedonia
3464,Eirinoupoli,164,Imathia,105057,Macedonia
3465,Makedonida,164,Imathia,105057,Macedonia
3466,Meliki,164,Imathia,105057,Macedonia
3467,Naousa,164,Imathia,105057,Macedonia
3468,Plati,164,Imathia,105057,Macedonia
3469,Agia Varvara,165,Heraklion Prefecture,105051,Crete
3470,Arkalochori,165,Heraklion Prefecture,105051,Crete
3471,Archanes,165,Heraklion Prefecture,105051,Crete
3472,Asterousia,165,Heraklion Prefecture,105051,Crete
3473,Viannos,165,Heraklion Prefecture,105051,Crete
3474,Gazi,165,Heraklion Prefecture,105051,Crete
3475,Gorgolaini,165,Heraklion Prefecture,105051,Crete
3476,Gortina,165,Heraklion Prefecture,105051,Crete
3477,Gouves,165,Heraklion Prefecture,105051,Crete
3478,Episkopi,165,Heraklion Prefecture,105051,Crete
3479,Zaros,165,Heraklion Prefecture,105051,Crete
3480,Thrapsano,165,Heraklion Prefecture,105051,Crete
3481,Kastelli,165,Heraklion Prefecture,105051,Crete
3482,Kofinas,165,Heraklion Prefecture,105051,Crete
3483,Krousonas,165,Heraklion Prefecture,105051,Crete
3484,Mallia,165,Heraklion Prefecture,105051,Crete
3485,Moires,165,Heraklion Prefecture,105051,Crete
3486,Nea Alikarnassos,165,Heraklion Prefecture,105051,Crete
3487,Nikos Kazantzakis,165,Heraklion Prefecture,105051,Crete
3489,Heraclion Cretes,165,Heraklion Prefecture,105051,Crete
3490,Rouvas,165,Heraklion Prefecture,105051,Crete
3491,Temenos,165,Heraklion Prefecture,105051,Crete
3492,Tilisos,165,Heraklion Prefecture,105051,Crete
3493,Timpaki,165,Heraklion Prefecture,105051,Crete
3494,Chersonisos,165,Heraklion Prefecture,105051,Crete
3495,Acherontas,166,Thesprotia,105055,Ipiros
3496,Igoumenitsa,166,Thesprotia,105055,Ipiros
